transactionType,transactionId,cardNumber,amount,Stan,currencyCode,transactionDate,transactionTime,responseCode,accountType,authorizationCode,merchantId,merchantCategoryCode,terminalId,cardExpiryDate,cardholderName,accountHolderName,transactionFee,authorizationIndicator,acquirerBin,issuerBin,merchantName,transactionCode,reasonCode,rrn,originalTransactionId,acquirerReferenceNumber,batchNumber,dateOfSettlement,settlementAmount,issuerResponseCode,transactionOrigin,transactionReference,originalTransactionAmount,refundAmount,adjustmentAmount,loyaltyPointsEarned,loyaltyPointsRedeemed,reversalIndicator,authorizationDateTime,originalAuthorizationCode,narrative
REVERSAL,15511142735900606,4234567812345670,899.06,551056,356,2025-03-23,10:00:00,00,Savings,AUTH779,MERCHANT38,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870011,,123ABC,BATCH001,2025-03-24,187.22,00,Online,REF1483,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,1551116756380039,4234567812345671,118.17,873100,356,2025-03-23,10:00:00,00,Savings,AUTH655,MERCHANT73,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870012,,123ABC,BATCH001,2025-03-24,983.40,00,Online,REF4577,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,15511189898100414,4234567812345678,661.70,45207,356,2025-03-23,10:00:00,00,Savings,AUTH672,MERCHANT71,5411,TERM0,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870013,,123ABC,BATCH001,2025-03-24,87.82,00,Online,REF5469,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15511215882400874,4234567812345671,958.89,273205,356,2025-03-23,10:00:00,00,Savings,AUTH286,MERCHANT89,5411,TERM9,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870014,,123ABC,BATCH001,2025-03-24,615.45,00,Online,REF935,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15511242252000826,4234567812345673,382.54,860603,356,2025-03-23,10:00:00,00,Savings,AUTH696,MERCHANT55,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870015,,123ABC,BATCH001,2025-03-24,707.19,00,Online,REF8895,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
BALANCE_TRANSFER,15511275168200396,4234567812345670,975.97,12459,356,2025-03-23,10:00:00,00,Savings,AUTH836,MERCHANT72,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870016,,123ABC,BATCH001,2025-03-24,999.94,00,Online,REF7648,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,15511305853000257,4234567812345673,109.58,471659,356,2025-03-23,10:00:00,00,Savings,AUTH291,MERCHANT98,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870017,,123ABC,BATCH001,2025-03-24,540.50,00,Online,REF9940,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,15511331529300147,4234567812345675,553.54,437696,356,2025-03-23,10:00:00,00,Savings,AUTH6,MERCHANT24,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870018,,123ABC,BATCH001,2025-03-24,436.49,00,Online,REF1669,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15511361601200644,4234567812345674,735.16,885928,356,2025-03-23,10:00:00,00,Savings,AUTH580,MERCHANT41,5411,TERM4,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870019,,123ABC,BATCH001,2025-03-24,71.84,00,Online,REF6110,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
BALANCE_TRANSFER,15511394390900139,4234567812345672,781.03,25121,356,2025-03-23,10:00:00,00,Savings,AUTH220,MERCHANT0,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870020,,123ABC,BATCH001,2025-03-24,237.09,00,Online,REF8846,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
BALANCE_TRANSFER,15511424006400182,4234567812345674,922.78,87534,356,2025-03-23,10:00:00,00,Savings,AUTH742,MERCHANT78,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870021,,123ABC,BATCH001,2025-03-24,333.08,00,Online,REF3739,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REVERSAL,15511449790000656,4234567812345670,49.16,938999,356,2025-03-23,10:00:00,00,Savings,AUTH237,MERCHANT80,5411,TERM7,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870022,,123ABC,BATCH001,2025-03-24,136.17,00,Online,REF1669,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15511475006700471,4234567812345678,172.89,742798,356,2025-03-23,10:00:00,00,Savings,AUTH777,MERCHANT15,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870023,,123ABC,BATCH001,2025-03-24,143.78,00,Online,REF1291,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CAPTURE,15511503516100418,4234567812345678,716.67,363922,356,2025-03-23,10:00:00,00,Savings,AUTH392,MERCHANT66,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870024,,123ABC,BATCH001,2025-03-24,259.10,00,Online,REF2450,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REVERSAL,15511530725100982,4234567812345676,244.01,350775,356,2025-03-23,10:00:00,00,Savings,AUTH331,MERCHANT39,5411,TERM3,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870025,,123ABC,BATCH001,2025-03-24,527.23,00,Online,REF2243,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
BALANCE_TRANSFER,15511558032200584,4234567812345677,403.76,483875,356,2025-03-23,10:00:00,00,Savings,AUTH892,MERCHANT5,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870026,,123ABC,BATCH001,2025-03-24,861.79,00,Online,REF1004,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CAPTURE,15511588238200922,4234567812345675,688.29,478560,356,2025-03-23,10:00:00,00,Savings,AUTH644,MERCHANT85,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870027,,123ABC,BATCH001,2025-03-24,116.82,00,Online,REF405,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,15511618491300490,4234567812345677,390.23,716028,356,2025-03-23,10:00:00,00,Savings,AUTH549,MERCHANT48,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870028,,123ABC,BATCH001,2025-03-24,948.79,00,Online,REF871,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,15511645694000983,4234567812345678,976.08,996952,356,2025-03-23,10:00:00,00,Savings,AUTH711,MERCHANT82,5411,TERM4,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870029,,123ABC,BATCH001,2025-03-24,346.73,00,Online,REF5539,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15511674215200535,4234567812345672,80.48,665603,356,2025-03-23,10:00:00,00,Savings,AUTH245,MERCHANT32,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870030,,123ABC,BATCH001,2025-03-24,277.84,00,Online,REF9798,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CAPTURE,15511706161800319,4234567812345677,163.37,608933,356,2025-03-23,10:00:00,00,Savings,AUTH810,MERCHANT2,5411,TERM3,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870031,,123ABC,BATCH001,2025-03-24,226.63,00,Online,REF3798,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15511734219200441,4234567812345676,784.68,876609,356,2025-03-23,10:00:00,00,Savings,AUTH795,MERCHANT70,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870032,,123ABC,BATCH001,2025-03-24,694.16,00,Online,REF3681,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15511761956900855,4234567812345671,764.59,5050,356,2025-03-23,10:00:00,00,Savings,AUTH764,MERCHANT5,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870033,,123ABC,BATCH001,2025-03-24,559.30,00,Online,REF4443,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,15511790598800400,4234567812345676,859.01,237664,356,2025-03-23,10:00:00,00,Savings,AUTH390,MERCHANT35,5411,TERM4,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870034,,123ABC,BATCH001,2025-03-24,586.25,00,Online,REF8732,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15511821770400799,4234567812345674,470.21,945668,356,2025-03-23,10:00:00,00,Savings,AUTH283,MERCHANT11,5411,TERM3,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870035,,123ABC,BATCH001,2025-03-24,978.27,00,Online,REF6085,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15511847901900740,4234567812345677,934.02,266778,356,2025-03-23,10:00:00,00,Savings,AUTH505,MERCHANT76,5411,TERM0,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870036,,123ABC,BATCH001,2025-03-24,961.10,00,Online,REF9327,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REVERSAL,15511876013500928,4234567812345677,18.22,92518,356,2025-03-23,10:00:00,00,Savings,AUTH369,MERCHANT22,5411,TERM3,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870037,,123ABC,BATCH001,2025-03-24,540.19,00,Online,REF2686,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,1551190817220065,4234567812345673,592.38,87864,356,2025-03-23,10:00:00,00,Savings,AUTH862,MERCHANT23,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870038,,123ABC,BATCH001,2025-03-24,656.71,00,Online,REF4792,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15511936948400944,4234567812345675,862.47,768663,356,2025-03-23,10:00:00,00,Savings,AUTH303,MERCHANT39,5411,TERM9,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870039,,123ABC,BATCH001,2025-03-24,712.78,00,Online,REF7163,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REVERSAL,15511964205100916,4234567812345676,783.03,172304,356,2025-03-23,10:00:00,00,Savings,AUTH689,MERCHANT74,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870040,,123ABC,BATCH001,2025-03-24,230.40,00,Online,REF6141,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,15511993911200408,4234567812345677,755.03,544682,356,2025-03-23,10:00:00,00,Savings,AUTH911,MERCHANT32,5411,TERM0,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870041,,123ABC,BATCH001,2025-03-24,303.22,00,Online,REF4995,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15512024828000848,4234567812345677,719.51,542641,356,2025-03-23,10:00:00,00,Savings,AUTH624,MERCHANT62,5411,TERM6,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870042,,123ABC,BATCH001,2025-03-24,15.42,00,Online,REF6490,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,15512052417700394,4234567812345676,972.36,488371,356,2025-03-23,10:00:00,00,Savings,AUTH403,MERCHANT41,5411,TERM0,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870043,,123ABC,BATCH001,2025-03-24,353.11,00,Online,REF6943,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CHARGEBACK,15512079326300729,4234567812345675,998.80,993768,356,2025-03-23,10:00:00,00,Savings,AUTH456,MERCHANT22,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870044,,123ABC,BATCH001,2025-03-24,803.72,00,Online,REF6698,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,15512108988300855,4234567812345673,840.11,600194,356,2025-03-23,10:00:00,00,Savings,AUTH627,MERCHANT41,5411,TERM6,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870045,,123ABC,BATCH001,2025-03-24,158.57,00,Online,REF2201,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
BALANCE_TRANSFER,15512137768700468,4234567812345672,588.83,424027,356,2025-03-23,10:00:00,00,Savings,AUTH285,MERCHANT12,5411,TERM6,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870046,,123ABC,BATCH001,2025-03-24,105.06,00,Online,REF8420,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REVERSAL,15512170063300543,4234567812345675,315.47,963127,356,2025-03-23,10:00:00,00,Savings,AUTH330,MERCHANT9,5411,TERM9,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870047,,123ABC,BATCH001,2025-03-24,673.74,00,Online,REF5543,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15512198458100472,4234567812345679,558.10,49335,356,2025-03-23,10:00:00,00,Savings,AUTH833,MERCHANT58,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870048,,123ABC,BATCH001,2025-03-24,121.00,00,Online,REF7545,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CAPTURE,15512227333900821,4234567812345674,523.06,22360,356,2025-03-23,10:00:00,00,Savings,AUTH197,MERCHANT41,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870049,,123ABC,BATCH001,2025-03-24,71.99,00,Online,REF7045,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,15512255479500499,4234567812345671,604.72,57090,356,2025-03-23,10:00:00,00,Savings,AUTH70,MERCHANT43,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870050,,123ABC,BATCH001,2025-03-24,557.17,00,Online,REF9037,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15512284641900683,4234567812345673,718.88,627864,356,2025-03-23,10:00:00,00,Savings,AUTH446,MERCHANT86,5411,TERM4,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870051,,123ABC,BATCH001,2025-03-24,587.39,00,Online,REF13,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REVERSAL,15512315432900338,4234567812345672,141.74,339419,356,2025-03-23,10:00:00,00,Savings,AUTH804,MERCHANT74,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870052,,123ABC,BATCH001,2025-03-24,52.95,00,Online,REF8110,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
BALANCE_TRANSFER,15512342212000461,4234567812345679,413.56,192829,356,2025-03-23,10:00:00,00,Savings,AUTH450,MERCHANT98,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870053,,123ABC,BATCH001,2025-03-24,704.32,00,Online,REF8933,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15512375713100434,4234567812345676,238.16,207189,356,2025-03-23,10:00:00,00,Savings,AUTH106,MERCHANT13,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870054,,123ABC,BATCH001,2025-03-24,990.62,00,Online,REF4257,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,15512406971100188,4234567812345672,404.92,156522,356,2025-03-23,10:00:00,00,Savings,AUTH652,MERCHANT90,5411,TERM9,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870055,,123ABC,BATCH001,2025-03-24,520.64,00,Online,REF6521,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REVERSAL,15512443787200294,4234567812345672,135.42,432038,356,2025-03-23,10:00:00,00,Savings,AUTH30,MERCHANT89,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870056,,123ABC,BATCH001,2025-03-24,219.14,00,Online,REF3136,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CAPTURE,15512474868700318,4234567812345675,647.63,247173,356,2025-03-23,10:00:00,00,Savings,AUTH506,MERCHANT54,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870057,,123ABC,BATCH001,2025-03-24,686.87,00,Online,REF5116,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15512504693900256,4234567812345679,834.48,690080,356,2025-03-23,10:00:00,00,Savings,AUTH679,MERCHANT68,5411,TERM3,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870058,,123ABC,BATCH001,2025-03-24,805.51,00,Online,REF4802,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CHARGEBACK,15512536532000774,4234567812345678,736.61,282459,356,2025-03-23,10:00:00,00,Savings,AUTH237,MERCHANT93,5411,TERM6,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870059,,123ABC,BATCH001,2025-03-24,368.64,00,Online,REF3021,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15512566756800569,4234567812345671,969.56,464805,356,2025-03-23,10:00:00,00,Savings,AUTH711,MERCHANT94,5411,TERM9,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870060,,123ABC,BATCH001,2025-03-24,30.49,00,Online,REF1878,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,15512592723100872,4234567812345679,506.09,554891,356,2025-03-23,10:00:00,00,Savings,AUTH575,MERCHANT91,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870061,,123ABC,BATCH001,2025-03-24,395.70,00,Online,REF698,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15512619989800658,4234567812345671,290.87,294752,356,2025-03-23,10:00:00,00,Savings,AUTH736,MERCHANT53,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870062,,123ABC,BATCH001,2025-03-24,971.36,00,Online,REF4977,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CAPTURE,1551264989840041,4234567812345675,543.47,544372,356,2025-03-23,10:00:00,00,Savings,AUTH625,MERCHANT31,5411,TERM4,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870063,,123ABC,BATCH001,2025-03-24,886.90,00,Online,REF3247,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15512677238600342,4234567812345679,383.91,697380,356,2025-03-23,10:00:00,00,Savings,AUTH488,MERCHANT94,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870064,,123ABC,BATCH001,2025-03-24,240.65,00,Online,REF3771,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
BALANCE_TRANSFER,15512701553000823,4234567812345676,65.57,194400,356,2025-03-23,10:00:00,00,Savings,AUTH489,MERCHANT11,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870065,,123ABC,BATCH001,2025-03-24,482.49,00,Online,REF3847,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,15512727784100687,4234567812345674,388.19,924835,356,2025-03-23,10:00:00,00,Savings,AUTH188,MERCHANT8,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870066,,123ABC,BATCH001,2025-03-24,882.64,00,Online,REF366,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,15512755041800685,4234567812345672,268.69,656440,356,2025-03-23,10:00:00,00,Savings,AUTH627,MERCHANT7,5411,TERM6,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870067,,123ABC,BATCH001,2025-03-24,340.87,00,Online,REF4023,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,1551277891570067,4234567812345670,572.05,775910,356,2025-03-23,10:00:00,00,Savings,AUTH824,MERCHANT76,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870068,,123ABC,BATCH001,2025-03-24,233.73,00,Online,REF6759,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15512803813700964,4234567812345674,371.06,278959,356,2025-03-23,10:00:00,00,Savings,AUTH49,MERCHANT33,5411,TERM0,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870069,,123ABC,BATCH001,2025-03-24,693.20,00,Online,REF3543,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CHARGEBACK,155128294647003,4234567812345676,438.34,746808,356,2025-03-23,10:00:00,00,Savings,AUTH421,MERCHANT53,5411,TERM4,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870070,,123ABC,BATCH001,2025-03-24,477.72,00,Online,REF3973,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15512854309800776,4234567812345671,158.80,891198,356,2025-03-23,10:00:00,00,Savings,AUTH955,MERCHANT72,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870071,,123ABC,BATCH001,2025-03-24,660.56,00,Online,REF3843,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CAPTURE,15512875973700473,4234567812345679,946.91,343411,356,2025-03-23,10:00:00,00,Savings,AUTH974,MERCHANT64,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870072,,123ABC,BATCH001,2025-03-24,797.92,00,Online,REF8014,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CHARGEBACK,15512902312500299,4234567812345677,820.87,804096,356,2025-03-23,10:00:00,00,Savings,AUTH766,MERCHANT58,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870073,,123ABC,BATCH001,2025-03-24,185.69,00,Online,REF2375,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
